iter	Passed	Remaining
0	56	56865
1	57	28669
2	57	19249
3	58	14551
4	58	11737
5	59	9853
6	59	8505
7	60	7490
8	60	6699
9	61	6071
10	61	5553
11	62	5123
12	62	4759
13	63	4447
14	63	4177
15	64	3939
16	64	3734
17	65	3553
18	65	3395
19	66	3247
20	66	3111
21	67	2984
22	67	2871
23	68	2767
24	68	2669
25	68	2580
26	69	2500
27	69	2422
28	70	2353
29	70	2286
30	71	2225
31	71	2167
32	72	2111
33	72	2062
34	72	2012
35	73	1966
36	73	1923
37	74	1882
38	74	1841
39	75	1805
40	75	1770
41	76	1735
42	76	1703
43	76	1672
44	77	1645
45	77	1616
46	78	1589
47	78	1563
48	79	1538
49	79	1515
50	80	1492
51	80	1470
52	81	1448
53	81	1428
54	82	1409
55	82	1389
56	82	1371
57	83	1354
58	83	1337
59	84	1320
60	84	1303
61	85	1289
62	85	1274
63	86	1259
64	86	1244
65	86	1228
66	87	1215
67	87	1201
68	88	1187
69	88	1174
70	88	1160
71	89	1147
72	89	1135
73	89	1122
74	90	1111
75	90	1099
76	90	1088
77	91	1077
78	91	1066
79	91	1056
80	92	1046
81	92	1036
82	92	1025
83	93	1015
84	93	1007
85	93	998
86	94	990
87	94	982
88	95	974
89	95	967
90	96	960
91	96	952
92	96	945
93	97	937
94	97	930
95	97	922
96	98	915
97	98	909
98	99	902
99	99	896
100	100	891
101	100	886
102	101	880
103	101	875
104	101	868
105	102	862
106	102	856
107	102	850
108	103	844
109	103	838
110	104	832
111	104	827
112	104	822
113	105	816
114	105	811
115	105	806
116	106	800
117	106	796
118	106	791
119	107	786
120	107	781
121	107	776
122	108	771
123	108	766
124	108	762
125	109	757
126	109	752
127	109	748
128	110	744
129	110	740
130	110	736
131	111	732
132	111	727
133	111	723
134	112	719
135	112	715
136	113	711
137	113	708
138	113	705
139	114	701
140	114	699
141	115	694
142	115	691
143	115	688
144	116	684
145	116	681
146	116	677
147	117	674
148	117	671
149	117	667
150	118	664
151	118	661
152	118	658
153	119	655
154	119	652
155	120	649
156	120	646
157	120	643
158	121	640
159	121	638
160	121	634
161	122	631
162	122	629
163	122	626
164	123	623
165	123	620
166	123	617
167	124	615
168	124	612
169	124	609
170	125	607
171	125	604
172	125	601
173	126	599
174	126	596
175	126	594
176	127	592
177	127	590
178	128	588
179	128	586
180	129	584
181	129	582
182	130	580
183	130	578
184	130	575
185	131	573
186	131	571
187	131	569
188	132	567
189	132	565
190	133	563
191	133	561
192	133	559
193	134	557
194	134	555
195	134	553
196	135	551
197	135	549
198	136	547
199	136	546
200	136	544
201	137	542
202	137	540
203	137	538
204	138	536
205	138	534
206	138	532
207	139	530
208	139	528
209	140	526
210	140	524
211	140	523
212	141	521
213	141	520
214	142	518
215	142	517
216	142	515
217	143	514
218	143	512
219	144	510
220	144	509
221	144	507
222	145	505
223	145	504
224	145	502
225	146	500
226	146	499
227	147	497
228	147	496
229	147	494
230	148	493
231	148	491
232	148	490
233	149	488
234	149	487
235	150	486
236	150	484
237	150	482
238	151	481
239	151	479
240	151	478
241	152	477
242	152	475
243	153	474
244	153	472
245	153	471
246	154	469
247	154	468
248	154	467
249	155	466
250	155	465
251	156	463
252	156	462
253	157	461
254	157	460
255	157	458
256	158	457
257	158	456
258	159	455
259	159	453
260	159	452
261	160	452
262	160	450
263	161	449
264	161	448
265	162	447
266	162	446
267	162	444
268	163	443
269	163	442
270	163	441
271	164	439
272	164	438
273	165	437
274	165	435
275	165	434
276	166	433
277	166	432
278	166	430
279	167	429
280	167	428
281	167	427
282	168	425
283	168	424
284	168	423
285	169	422
286	169	420
287	169	419
288	170	419
289	170	418
290	171	417
291	171	415
292	171	414
293	172	413
294	172	412
295	173	411
296	173	410
297	173	409
298	174	408
299	174	406
300	174	405
301	175	404
302	175	403
303	175	402
304	176	401
305	176	400
306	176	399
307	177	398
308	177	397
309	178	396
310	178	395
311	178	394
312	179	393
313	179	392
314	179	391
315	180	389
316	180	388
317	180	387
318	181	386
319	181	385
320	181	384
321	182	383
322	182	382
323	183	381
324	183	381
325	183	380
326	184	379
327	184	378
328	185	377
329	185	376
330	185	375
331	186	374
332	186	373
333	186	372
334	187	371
335	187	370
336	187	369
337	188	368
338	188	367
339	188	366
340	189	365
341	189	364
342	189	363
343	190	362
344	190	362
345	191	361
346	191	360
347	191	359
348	192	358
349	192	357
350	192	356
351	193	355
352	193	354
353	193	353
354	194	352
355	194	351
356	194	351
357	195	350
358	195	349
359	195	348
360	196	347
361	196	346
362	196	345
363	197	344
364	197	344
365	198	343
366	198	342
367	198	341
368	199	340
369	199	340
370	200	339
371	200	338
372	200	337
373	201	336
374	201	335
375	201	334
376	202	334
